dates,number_of_marriage
2018-09-07,11
2021-09-24,15
2021-08-27,12
2021-09-27,18
2023-03-01,9
2021-11-03,7
2018-01-21,8
2019-05-25,11
2021-12-29,9
2021-01-31,9
2022-02-27,10
2021-04-08,13
2019-09-12,16
2023-07-16,9
2019-10-03,11
2023-01-08,10
2019-09-19,10
2019-08-08,7
2019-02-13,7
2019-05-24,19
2019-11-25,10
2019-10-25,10
2018-12-15,7
2018-03-29,9
2019-04-25,12
2022-11-11,12
2021-02-25,11
2023-06-27,8
2022-12-26,9
2018-04-11,6
2020-09-25,8
2019-08-04,17
2019-10-30,8
2021-01-16,11
2019-02-01,6
2022-07-22,12
2019-03-17,11
2019-07-21,11
2023-12-13,10
2022-11-04,12
2021-04-26,11
2021-11-16,9
2019-11-14,16
2021-09-23,8
2019-12-24,12
2021-01-04,14
2022-01-22,11
2020-11-28,13
2019-06-19,4
2022-08-04,6
2018-06-11,8
2019-11-10,9
2022-04-20,10
2021-01-09,12
2018-12-02,7
2021-01-08,9
2020-12-17,9
2022-07-04,7
2019-01-18,9
2023-02-01,10
2023-03-09,12
2018-04-02,10
2019-11-26,8
2018-01-31,10
2019-06-08,15
2022-03-28,6
2019-11-06,3
2021-01-18,8
2018-04-24,9
2021-05-21,3
2018-09-24,10
2023-05-10,8
2018-02-02,9
2022-09-12,12
2018-07-17,8
2021-02-11,8
2020-04-21,12
2018-06-03,9
2019-12-04,7
2022-01-04,11
2023-07-22,11
2020-10-30,8
2018-11-09,10
2021-04-06,15
2019-03-06,7
2023-05-22,12
2020-05-03,11
2019-11-12,9
2018-12-17,7
2023-05-17,8
2018-12-31,7
2023-05-26,6
2018-10-21,9
2018-10-16,11
2018-08-19,11
2021-01-25,15
2019-10-20,9
2018-02-28,8
2019-11-10,14
2022-06-14,15
